,timestamp,webUrl,headline,sectionName,site,bodyContent,article_length,author_name
0,2022-01-31,https://www.cnn.com/2022/01/31/us/houston-deputy-killed-dash-cam/index.html,"The barrage of bullets that killed a Houston-area deputy was captured by his own dash and body-worn cameras, court records show",US,CNN,"In what would be his last moments, the 12-year veteran deputy constable sat in his squad car minutes after midnight as the driver’s door of the car ahead of him opened. Cpl. Charles Galloway had just made the traffic stop and was trying to contact a dispatcher when a man got out of the white Toyota Avalon. He turned toward Galloway and pointed at him with what looked like a rifle. Then, he fired – again and again – in Galloway’s direction, according to a probable cause document filed in Harris County, Texas, District Court that cites dash and body-worn camera recordings of the barrage. The recordings themselves have not been released. As bullets penetrated the windshield, Galloway sat in his patrol vehicle’s driver’s seat. He was hit several times, his own body-worn camera shows, the court documents say. Galloway, 47, died primarily from a gunshot wound to the head, the Harris County Institute of Forensic Sciences later determined. His death came as the number of law enforcement officers feloniously killed in the line of duty has hit its highest point ​since September 11, 2001, ​according to preliminary 2021 data from the FBI, and as gun violence has risen nationwide. After firing the shots at Galloway sometime between 12:30 a.m. and 12:50 a.m. on January 23, the man in the video returned to the white Avalon and drove away, court documents show. Police soon ran its license plates, which led them to the ​person they call the “common-law wife​” of 50-year-old Oscar Rosales. She, according to court records, identified Rosales as the man who got out of the white Toyota, as captured by Galloway’s dash camera video, and the white Avalon as being the one that she said she owned and that he had been driving. After an international manhunt, Rosales was arrested last week by Mexican authorities in Ciudad Acuña, just across the border from Del Rio, Texas. He had been wanted for crimes committed in 1996 in Harris County and also for murder in El Salvador, the Harris County district attorney said Thursday. Rosales is from El Salvador and is not a US citizen, court documents obtained by CNN show. Rosales was transferred to Harris County and is being held without bail on capital murder of a police officer charges in relation to Galloway’s death, court records show. His attorney, Allen Tanner, had no comment Monday, he told CNN. Rosales is next due in court February 23, court records show. Rosales’ jail visitations have been limited to his attorneys and a private investigator and have excluded reporters, according to Harris County District Court records. Rosales was deemed indigent and was appointed an attorney, court records show. Galloway, a deputy constable of Harris County Constable Precinct 5, is survived by a daughter, his sister and “the numerous officers here in Precinct 5 who are trained by him,” mentored by him “and who are going to miss him tremendously,” his comrade Harris County Precinct 5 Constable Ted Heap has said. Funeral services for Galloway are set for Tuesday morning.",3027.0,Rosa Flores
1,2022-01-31,https://www.cnn.com/2022/01/31/us/sacramento-explosions-man-arrested/index.html,Police investigating Sacramento explosions arrest 23-year-old man,US,CNN,"A 23-year-old man has been arrested in Sacramento, California, in connection with two explosions in a neighborhood, police said Sunday. Investigators served a search warrant on Saturday following an explosion that caused damage to a vehicle the previous day, a Sacramento Police Department news release states. Police canvassed the area and looked at surveillance video before serving the warrant, the release said. During the search “officers located two active pipe bombs along with additional evidence that a suspect detonated a pipe bomb,” the SPD said. “The suspect who detonated the pipe bomb was identified as 23-year-old Cody Wiggs,” the news release states. Police did not specify what evidence led to Wiggs’ arrest. Police had responded to another report of an explosion on January 23, according to the news release. On that occasion, officers found an unoccupied vehicle with significant damage “consistent with an explosion occurring inside the vehicle.” Wiggs is charged with two counts of felony possession of an explosive in a public place and a misdemeanor charge of carrying a concealed knife, Sacramento County jail records show. It’s unclear whether Wiggs has retained an attorney. CNN has reached out to the Sacramento County Public Defender’s Office for comment. The investigation remains active. The police department is urging anybody who may have information about these or other similar incidents to contact police.",1440.0,Melissa Alonso
2,2022-01-31,https://www.cnn.com/2022/01/31/us/oklahoma-earthquake/index.html,"4.5 magnitude earthquake strikes Oklahoma, rattling residents in 2 states",US,CNN,"More than 200 cities and towns were affected by a “notable” 4.5 magnitude earthquake that struck the Midwest, the US Geological Survey (USGS) said Monday. The early afternoon tremor was centered about 4.3 miles northwest of Medford, Oklahoma. The USGS gave the quake a “V” rating on its shake map, indicating “moderate” shaking and “very light” damage. A dispatcher at the Medford Police Department told CNN they “certainly felt the earthquake,” but had not received any reports of damage nor injuries. Larger cities such as Oklahoma City, Tulsa, and Wichita, Kansas, felt “weak” shaking, according to USGS. The Tulsa Fire Department told CNN they had received no calls of damage nor injuries so far. A spokesperson for the Wichita Police Department also said they had received no reports of damages or injuries and felt “nothing significant.” CNN has reached out to the USGS and multiple public safety departments for further information on potential impacts.",960.0,Gregory Lemos
3,2022-01-31,https://www.cnn.com/2022/01/31/us/bridgeport-connecticut-police-leave-lauren-smith-fields-brenda-lee-rawls/index.html,Connecticut officers placed on leave after mayor says he’s ‘extremely disappointed’ in police leadership following investigation into the deaths of two Black women,US,CNN,"The mayor of a Connecticut city has ordered two police officers be placed on administrative leave after the families of two Black women criticized the police responses and investigations into their deaths. Bridgeport Mayor Joseph Ganim expressed his condolences Sunday to the families of Lauren Smith-Fields and Brenda Lee Rawls, saying in a statement he is “extremely disappointed with the leadership of the Bridgeport Police Department.” Smith-Fields, 23, and Rawls, 53, both died on December 12, 2021 – but unlike Smith-Fields, whose death is now being investigated as a crime, Rawls’ cause and manner of death are still pending, according to the Connecticut Office of the Chief Medical Examiner. The family of Smith-Fields says the department mishandled its investigation into her death, which began after a man who she recently met on the dating app Bumble called police from her residence, police said. Smith-Fields was found unresponsive, and a medical examiner ruled her death was accidental and caused by “acute intoxication due to the combined effects of fentanyl, promethazine, hydroxyzine and alcohol.” Police are focusing their attention on “the factors that led to her untimely death,” acting Police Chief Rebeca Garcia said in an earlier statement. The police did not notify Smith-Fields’ family of her death, an attorney for the family said, and instead they found out a day later when visiting Smith-Fields’ home and finding a note from the landlord on her apartment door. Rawls’ family says police failed to notify them of her death in a timely manner and claims initial police responses were dismissive and insensitive. Dorothy Washington, Rawls’ sister, told CNN family members initially learned of her death from an acquaintance who said he found her unresponsive and could not wake her. Washington said the man told the family Rawls’ body was taken by a police officer and coroner. After multiple calls to police, hospitals and funeral homes, the family finally received confirmation of her death when reaching out to the state’s medical examiner, who had already performed an autopsy, Washington said. “It’s almost like they’re not aware of her death, or they just don’t care and that made us angry,” Washington said of city and police officials. “She was raised and born in Bridgeport, Connecticut, paid her taxes, voted and they treated like she was nothing. Like she was roadkill.” Washington has launched a GoFundMe to raise money for an independent investigation. CNN reached out to the Bridgeport Police Department for comment. Ganim found the actions taken by the police department up to this point “unacceptable,” he said Sunday, and he put two officers who are currently the subject of a police internal affairs investigation on administrative leave. “The Bridgeport Police Department has high standards for officer sensitivity especially in matters involving the death of a family member. It is an unacceptable failure if policies were not followed,” Ganim said in the statement. “To the families, friends and all who care about the human decency that should be shown in these situations in this case by members of the Bridgeport Police Department, I am very sorry.” The mayor directed Deputy Chief James Baraja to take disciplinary action against the officers “for lack of sensitivity to the public and failure to follow police policy” in the handling of the Smith-Fields and Rawls cases, according to the statement. Ganim announced the supervisory officer who was in charge of overseeing the Smith-Fields and Rawls cases retired from the department Friday. The deaths of Smith-Fields and Rawls are still under investigation and have been reassigned to other members of the Bridgeport Police Department, Ganim said.",3749.0,Artemis Moshtaghian
4,2022-01-31,https://www.cnn.com/2022/01/30/us/las-vegas-crash-multivehicle/index.html,North Las Vegas police are investigating ‘mass casualty’ crash that left nine people dead,US,CNN,"Nine people, including four children, have died following a multi-vehicle traffic collision in North Las Vegas, Nevada, officials said. They are among 15 people involved in the crash Saturday afternoon, according to Alex Cuevas, spokesperson for North Las Vegas Police. A Dodge Challenger was traveling at high speed and ran a red light, hitting several vehicles and causing a “chaotic event,” Cuevas said. A total of six vehicles were involved. The Challenger first hit two vehicles in oncoming eastbound lanes, then hit three vehicles in a westbound lane, North Las Vegas Acting Police Chief Jacqueline Gravatt said during a news conference Sunday. One of the first vehicles hit was a Toyota Sienna van carrying three adults and four children, all of whom died in the crash, Gravatt said. The driver and passenger in the Challenger were also killed, Gravatt said. One person remained hospitalized in serious condition Sunday. Speed is in the only known contributing factor for the crash, Gravatt said, noting investigators will also look at other details, including reports from the coroner’s office. The National Transportation Safety Board is sending a team to North Las Vegas to assist with the investigation. Calling the incident “an unprecedented loss of life,” North Las Vegas Mayor John Lee said the grieving process will take a long time for both the families and the community. “Our thoughts and our prayers are with the families who are experiencing a tremendous and unnecessary loss due to a careless and senseless act,” North Las Vegas Councilwoman Pamela Goynes-Brown said during a news conference Saturday.",1622.0,Tina Burnside
5,2022-01-30,https://www.cnn.com/2022/01/30/us/ohio-marysville-hampton-inn-carbon-monoxide-exposure/index.html,13 people hospitalized due to dangerous carbon monoxide levels at an Ohio hotel swimming pool,US,CNN,"At least four people have been released from an Ohio hospital after breathing life-threatening levels of carbon monoxide in a Hampton Inn pool area. They are among 13 people, including an unconscious 2-year-old girl, who were hospitalized in the incident Saturday night in Marysville, Ohio. Two critical patients – now stabilized – and five serious-but-stable patients have been transferred to tertiary care facilities, according to Melanie Ziegler, VP of Community Engagement for Memorial Health who spoke to CNN Sunday morning. The hotel had been evacuated Saturday after a 911 call reported the young girl unconscious, Police Chief Tony Brooks said. “Shortly after this call, the local 911 Center received additional calls (referencing) unconscious subjects in and around the pool area,” Brooks told CNN via email. “Others described symptoms such as dizziness and a burning in their throat.” Nine people, including the 2-year-old, were taken to local hospitals, and four others arrived to the hospital on their own, Brooks said. Two other people received medical evaluations at the scene and were not hospitalized. “We did have life threatening levels of carbon monoxide in the pool area of the hotel and we transported several people to local hospitals,” Marysville Fire Chief Jay Riley told CNN in an email. “We continue the investigation into the source and (are) glad that no one died as a result of their exposure.” Marysville is about 30 miles northwest of Columbus. Carbon monoxide is an odorless and colorless gas that can cause sudden illness and death. Symptoms of carbon monoxide poisoning include headache, dizziness, weakness, upset stomach, vomiting, chest pain as well as confusion, according to the US Centers for Disease Control and Prevention.",1764.0,Andy Rose
6,2022-01-30,https://www.cnn.com/2022/01/30/us/redwood-forest-california-native-tribes-tcih-leh-dun/index.html,A redwood forest in California has been permanently returned to its Indigenous tribes,US,CNN,"More than 500 acres of California redwood forestland has been officially returned to a group of Native American tribes whose ancestors were expelled from it generations ago. The land, formerly known as Andersonia West, was purchased by San Francisco conservation group Save the Redwoods League and donated to the InterTribal Sinkyone Wilderness Council, the league announced Tuesday. The Sinkyone Council consists of 10 federally recognized Northern California tribal nations including the Cahto Tribe of Laytonville Rancheria, the Pinoleville Pomo Nation, and the Round Valley Indian Tribes. People Indigenous to the land, located in Northern California’s Mendocino County, were “forcibly removed” by European American colonists, according to the league. But today, the Sinkyone people have been empowered with the ability to reclaim – and rename – the land they believe rightfully belongs to them. “Renaming the property Tc’ih-Léh-Dûñ lets people know that it’s a sacred place; it’s a place for our Native people,” Sinkyone Council board member and tribal citizen Crista Ray said in a statement. “It lets them know that there was a language and that there was a people who lived there long before now.” Tc’ih-Léh-Dûñ, pronounced tsih-ih-LEY-duhn, means “Fish Run Place” in the Sinkyone language, according to the release. “Today I stand on the shoulders of giants, my ancestors … to bring them honor, and to not let our old ways be forgotten, for our next generation, my children, my grandchildren and all the kids that I’ll never get to see,” Buffie Schmidt, tribal citizen and vice chairperson of the Sherwood Valley Rancheria of Pomo Indians, said in a statement. “Our ancestors are still here, they’re still around us. As I listen to the wind, I feel like my ancestors – who I’ve never even known in my lifetime – are here and happy that we call this place something that they’re familiar with: Tc’ih-Léh-Dûñ.” Now that Tc’ih-Léh-Dûñ has been reunited with “the original stewards of this land,” league president and CEO Sam Hodder said, the InterTribal Sinkyone Wilderness Council will partner with the organization to protect the forestland and all its wildlife. Before the arrival of European settlers, the land was sacred to the spiritual lives of Native tribes who performed ceremonies when harvesting redwoods to build their homes and canoes, the nonprofit conservation organization explained on its website. Eventually, the Indigenous people were expelled, and lumber companies discovered how cheap and easy it would be to log and profit from the trees. “By the end of the 1950s, only about 10 percent of the original two-million-acre redwood range remained untouched,” Save the Redwoods League said. Tc’ih-Léh-Dûñ was purchased by Save the Redwoods League in July 2020 for $3.55 million. The 523-acre property is known for its majestic, ancient redwoods, a portion of Anderson Creek, and a diverse ecosystem – including coho salmon, steelhead trout, marbled murrelets and northern spotted owls, all of which are endangered, according to the league. Today, redwoods face numerous threats, including human-induced climate change, land development, and burl poaching, according to Save the Redwoods League. “We believe the best way to permanently protect and heal this land is through tribal stewardship,” Hodder said. “In this process, we have an opportunity to restore balance in the ecosystem and in the communities connected to it, while also accelerating the pace and scale of conserving California’s iconic redwood forests.” This is the second time Save the Redwoods League has donated land to the council, with the first being the 164-acre Four Corners property located north of Tc’ih-Léh-Dûñ. “The Council and League plan to apply a blend of Indigenous place-based land guardianship principles, conservation science, climate adaptation and fire resiliency concepts and approaches to help ensure lasting protection and long-term healing for Tc’ih-Léh-Dûñ and its diverse flora and fauna,” the release said.",4023.0,Alaa Elassar
7,2022-01-30,https://www.cnn.com/2022/01/30/us/tennessee-officer-excessive-force-conviction/index.html,A former Tennessee officer was convicted of civil rights violations for using excessive force against suspects,US,CNN,"A former Tennessee law enforcement officer was convicted Friday of federal civil rights offenses for using excessive force against two suspects, federal prosecutors said. Anthony “Tony” Bean, 61, faced a bench trial on charges related to separate incidents in 2014 and 2017. In 2014, when he was acting as the Tracy City police chief, Bean used excessive force twice during an arrest, a statement from the US Attorney’s Office for the Eastern District of Tennessee said. In 2017, when Bean was the chief deputy at the Grundy County Sheriff’s Office, he used excessive force against another arrestee, the statement from prosecutors said. CNN has reached out to Bean’s lawyer for comment on the convictions. “Civil Rights violations are always of great concern, particularly when an officer betrays the oath to protect and serve,” said FBI Special Agent in Charge Joseph E. Carrico. “When that trust is violated, the law enforcement community is tarnished, and the community’s confidence is broken.” Bean will be sentenced in June and faces a maximum penalty of 10 years in prison for each of the three counts for which he was convicted, according to federal prosecutors.",1169.0,Josh Campbell
8,2022-01-30,https://www.cnn.com/2022/01/29/us/university-of-nebraska-mascot-hand-gesture/index.html,University of Nebraska updates Herbie Husker mascot to change hand gesture associated with white supremacy,US,CNN,"The University of Nebraska has changed its mascot’s hand gesture after more than 47 years, the university said, after the traditional one became associated with racist groups. The Herbie Husker mascot changed from making what appears to be an “OK” hand gesture with his thumb and forefinger forming an O, to one with his index finger raised in a “number one” gesture. The “OK” hand symbol is listed on the Anti-Defamation League’s (ADL) website as having been co-opted as a “racist” hand sign. “The concern about the hand gesture was brought to our attention by our apparel provider and others, and we decided to move forward with a revised Herbie Husker logo,” Nebraska Athletics said in an email to CNN. “The process of changing the logo began in 2020, and we updated our brand guidelines in July of 2021. The revised logo is now the only Herbie Husker mark available to licensees,” the university said. Herbie Husker made his first appearance in 1974 on the school’s media guide, according to the university. While the ADL does say, “Use of the okay symbol in most contexts is entirely innocuous and harmless,” recent uses of the gesture has had links to white supremacy. “In 2017, the ‘okay’ hand gesture acquired a new and different significance thanks to a hoax by members of the website 4chan to falsely promote the gesture as a hate symbol, claiming that the gesture represented the letters ‘wp,’ for ‘white power,’” the ADL website says. Herbie Husker was named National Mascot of the year in 2005, according to the university.",1536.0,Michelle Watson
9,2022-01-30,https://www.cnn.com/2022/01/30/us/fentanyl-bedroom-13-year-old-boy-died-connecticut/index.html,Roughly 100 bags of fentanyl were found in the bedroom of a 13-year-old boy who died from presumed fentanyl exposure at his school,US,CNN,"Police recovered about 100 bags of fentanyl from the bedroom of a 13-year-old who died after a presumed fentanyl exposure at his school in Hartford, Connecticut. Forty bags of fentanyl were also removed from the teen’s school, according to police. Both sets of bags were packaged the same way and marked with a similar stamp, according to a press release by the Hartford Police Department. The young teenager died on January 15, two days after he was found unconscious after a presumed fentanyl exposure at the Sport and Medical Sciences Academy. Two other male students, also seventh graders, who came into contact with the fentanyl at the same time were taken to a hospital and later released, police said. “We can confidently say that the fentanyl that caused the overdose [of the juvenile] was the same fentanyl that was located in the juvenile’s bedroom,” Hartford police said in the release. The bags were initially collected by the Drug Enforcement Administration and given to Hartford police for fingerprint and DNA testing, said Hartford police Lt. Aaron Boisvert. Police found no evidence that anyone other than the child brought the drugs to school, he added. Officials are still investigating how he came to be in possession of the fentanyl. Authorities do not have a suspect at this time, Boisvert told CNN. The teen’s mother is cooperating with authorities, who have found no evidence that suggests she had prior knowledge of her son’s fentanyl possession, the release said. The 13-year-old had no prior history of narcotics, according to the release. Fentanyl is 50 times more powerful than heroin and is extremely cheap to produce, according to the Drug Enforcement Agency. The US drug epidemic has exploded while Americans are locked down during the coronavirus pandemic. From May 2020 through April 2021, more than 100,000 people died from drug overdoses in the US, according to the US Centers for Disease Control and Prevention. That’s a record – a near-30% rise from a year earlier and a near doubling over the past five years. Synthetic opioids like fentanyl – 50-100 times more potent than morphine – accounted for the bulk of those deaths, around 64,000. The drug epidemic has grown in tandem with the Covid-19 pandemic, which killed about 509,000 people in the same period. “In a crisis of this magnitude, those already taking drugs may take higher amounts and those in recovery may relapse. It’s a phenomenon we’ve seen and perhaps could have predicted,” Dr. Nora Volkow, director of the National Institute on Drug Abuse, told CNN in an earlier report The increasing use of the synthetic drug caught the attention of experts before Covid-19 hit, but the pandemic may have exacerbated the problem, Volkow says. With international travel limited, synthetics that are easier to manufacture and more concentrated were also more efficiently smuggled, she adds. The Biden administration put $4 billion from the Covid-19 relief package toward combating overdose deaths, including expanding services for substance use disorder and mental health.",3062.0,Alaa Elassar
